Produktname,Speicher,Preis_EUR
Western Digital Red SN700 NVMe NAS SSD - 1DWPD 250GB,250GB,51.4
Transcend MTE400S SSD 1TB,1TB,91.64
Western Digital WD Red SA500 NAS SATA SSD 2TB,2TB,141.44
TeamGroup T-Force G50 2TB,2TB,107.01
Western Digital WD Green SN350 NVMe SSD 2TB,2TB,105.46
MSI Spatium M460 1TB,1TB,60.38
Western Digital WD_BLACK SN8100 NVMe SSD 4TB,4TB,509.23
Intenso PCIe PREMIUM SSD 2TB,2TB,101.32
Kingston DC600ME Data Center Series Mixed-Use SSD - 1DWPD 960GB,960GB,136.57
TeamGroup T-Force Vulcan Z SSD 4TB,4TB,202.94
Kingston DC3000ME PCIe 5.0 NVMe U.2 SSD 7.68TB,68TB,820.34
Western Digital WD Red SA500 NAS SATA SSD 500GB,500GB,55.88
Intenso High Performance SSD 120GB,120GB,9.87
Western Digital WD_BLACK SN850X NVMe SSD 2TB,2TB,169.97
Western Digital WD_BLACK SN850P NVMe SSD 4TB,4TB,311.6
Patriot P400 Lite 1TB,1TB,56.35
Crucial T500 SSD 500GB,500GB,69.66
Lexar NM790 4TB,4TB,265.12
Western Digital Ultrastar DC SN655 - 1DWPD 3.84TB,84TB,528.61
Crucial E100 SSD 480GB,480GB,34.47
KIOXIA EXCERIA PRO SSD 1TB,1TB,78.26
Samsung SSD 990 EVO 1TB,1TB,90.66
Kingston DC1500M Data Center Series Mixed-Use SSD - 1DWPD 1.92TB,92TB,142.72
Western Digital WD Green SATA SSD 240GB,240GB,25.11
Crucial T700 SSD 4TB,4TB,414.4
Corsair Force Series MP600 Mini R2 2TB,2TB,165.28
Crucial T500 SSD 2TB,2TB,154.41
Crucial P310 SSD 2TB,2TB,155.2
Western Digital WD Green SATA SSD 2TB,2TB,104.88
Corsair Force Series MP700 PRO 1TB,1TB,139.99
Verbatim Vi560 S3 SSD 1TB,1TB,58.11
Verbatim Vi3000 PCIe NVMe SSD 1TB,1TB,58.88
Verbatim Vi560 S3 SSD 2TB,2TB,109.88
Corsair Force Series MP700 ELITE 1TB,1TB,141.19
Crucial T705 SSD 2TB,2TB,229.52
KIOXIA PM7-R Enterprise - 1DWPD Read Intensive SSD 30.72TB,72TB,5473.88
Western Digital Red SN700 NVMe NAS SSD - 1DWPD 500GB,500GB,55.91
KIOXIA EXCERIA SSD 960GB,960GB,52.19
Kingston FURY Renegade G5 SSD 2TB,2TB,284.87
Samsung OEM Datacenter SSD PM893 960GB,960GB,173.34
Seagate FireCuda 530R SSD +Rescue 1TB,1TB,86.61
Western Digital WD Green SATA SSD 480GB,480GB,31.13
Corsair Force Series MP600 Elite 1TB,1TB,84.99
GIGABYTE AORUS Gen4 7300 SSD 2TB,2TB,134.9
KIOXIA EXCERIA PLUS G4 SSD 1TB,1TB,106.75
Kingston DC2000B Data Center Series Boot SSD - 0.4DWPD 960GB,960GB,172.03
Intenso MI500 SSD 2TB,2TB,107.8
Patriot P400 Lite 2TB,2TB,100.9
Kingston DC600ME Data Center Series Mixed-Use SSD - 1DWPD 1.92TB,92TB,239.44
GIGABYTE AORUS Gen5 14000 SSD 1TB,1TB,141.61
Western Digital WD Blue SN570 NVMe SSD 2TB,2TB,100.83
Kingston SSDNow KC600 512GB,512GB,55.34
SanDisk PLUS SSD 500GB,500GB,33.42
Crucial P310 SSD 4TB,4TB,244.02
Samsung SSD 980 250GB,250GB,43.26
Corsair Force Series MP600 Pro NH 1TB,1TB,92.65
Corsair Force Series MP600 Pro NH 2TB,2TB,153.18
SanDisk Ultra 3D 2TB,2TB,115.96
Crucial P310 SSD 500GB,500GB,47.18
TeamGroup T-Force Vulcan Z SSD 2TB,2TB,104.9
Western Digital WD Red SA500 NAS SATA SSD 500GB,500GB,57.37
Lexar NM610 Pro 1TB,1TB,64.65
Crucial T700 SSD 2TB,2TB,208.73
TeamGroup T-Force Vulcan Z QLC SSD 2TB,2TB,96.9
Seagate FireCuda 530R SSD +Rescue 1TB,1TB,94.68
Transcend MTE410S SSD 1TB,1TB,93.17
Corsair Force Series MP700 PRO Hydro X 2TB,2TB,330.12
Intenso Top Performance SSD 1TB,1TB,52.32
Crucial T700 SSD 4TB,4TB,428.84
Patriot P210 256GB,256GB,16.93
Crucial P510 SSD 1TB,1TB,119.35
Samsung OEM Datacenter SSD PM9A3 3.84TB,84TB,485.1
KIOXIA EXCERIA G2 SSD 500GB,500GB,32.65
SanDisk Ultra 3D 4TB,4TB,270.05
Samsung SSD 970 EVO Plus 250GB,250GB,50.16
Transcend MSA220S 128GB,128GB,17.96
Seagate FireCuda 540 SSD +Rescue 2TB,2TB,240.97
Kingston DC2000B Data Center Series Boot SSD - 0.4DWPD 240GB,240GB,93.66
Lexar Professional NM1090 PRO 2TB,2TB,239.05
Kingston NV2 NVMe PCIe 4.0 SSD 2TB,2TB,117.87
Kingston FURY Renegade SSD 4TB,4TB,315.56
GIGABYTE Gen4 4000E SSD 1TB,1TB,60.9
Kingston NV3 NVMe PCIe 4.0 SSD 2TB,2TB,120.37
Samsung OEM Enterprise SSD PM1653 3.84TB,84TB,733.37
Samsung OEM Datacenter SSD PM893 240GB,240GB,84.66
