Produktname,VRAM,Preis_EUR
GIGABYTE GeForce RTX 3050 Windforce OC 8G,8GB,237.74
GIGABYTE GeForce RTX 3070 Eagle 8G (Rev. 2.0) (LHR),8GB,509.86
GIGABYTE GeForce RTX 3070 Ti Vision OC 8G,8GB,1096.59
GIGABYTE GeForce RTX 3080 Eagle 12G,12GB,1595.2
GIGABYTE GeForce RTX 4070 Aero OC 12G,12GB,882.18
INNO3D GeForce RTX 3050 Gaming OC X2,8GB,404.64
INNO3D GeForce RTX 3070 Ti iCHILL X4,8GB,684.92
INNO3D GeForce RTX 3070 Ti X3,8GB,762.05
INNO3D GeForce RTX 3080 iCHILL X3 LHR,10GB,1226.48
INNO3D GeForce RTX 3080 Ti iCHILL X3,12GB,939.0
KFA2 GeForce RTX 3070 EX (1-Click OC) LHR,8GB,939.95
MSI GeForce RTX 3070 Ventus 3X 8G OC LHR,8GB,629.0
NVIDIA GeForce RTX 3070 Founders Edition,8GB,769.99
NVIDIA GeForce RTX 3080 Ti Founders Edition,12GB,1199.0
Palit GeForce RTX 3070 Ti GameRock,8GB,1374.05
Palit GeForce RTX 3080 Ti GameRock,12GB,1628.48
PNY GeForce RTX 3070 Ti XLR8 Gaming Revel,8GB,899.0
PNY GeForce RTX 3080 Ti XLR8 Gaming Revel,12GB,1451.67
XFX Speedster MERC 319 Radeon RX 6700 XT Black Gaming,12GB,1073.19
Zotac Gaming GeForce RTX 3070 Ti AMP Extreme Holo,8GB,987.36
Zotac Gaming GeForce RTX 3070 Twin Edge LHR,8GB,621.09
Matrox M9140 LP,,604.45
Sapphire GPRO 4300,4GB,219.0
Sapphire GPRO 4200,4GB,219.0
Matrox M9120,,369.97
AMD Radeon PRO WX 9100,16GB,1552.91
GIGABYTE GeForce GT 710 (Rev. 2.0),2GB,68.44
ASUS TUF Gaming GeForce RTX 3080 OC V2 (LHR),10GB,439.9
Gainward GeForce RTX 3070 Phoenix V1 (LHR),8GB,698.82
GIGABYTE GeForce RTX 3050 Windforce OC 8G,8GB,237.74
GIGABYTE GeForce RTX 3070 Eagle 8G (Rev. 2.0) (LHR),8GB,509.86
GIGABYTE GeForce RTX 3070 Ti Vision OC 8G,8GB,1096.59
GIGABYTE GeForce RTX 3080 Eagle 12G,12GB,1595.2
GIGABYTE GeForce RTX 4070 Aero OC 12G,12GB,882.18
INNO3D GeForce RTX 3050 Gaming OC X2,8GB,404.64
INNO3D GeForce RTX 3070 Ti iCHILL X4,8GB,684.92
INNO3D GeForce RTX 3070 Ti X3,8GB,762.05
INNO3D GeForce RTX 3080 iCHILL X3 LHR,10GB,1226.48
INNO3D GeForce RTX 3080 Ti iCHILL X3,12GB,939.0
KFA2 GeForce RTX 3070 EX (1-Click OC) LHR,8GB,939.95
MSI GeForce RTX 3070 Ventus 3X 8G OC LHR,8GB,629.0
NVIDIA GeForce RTX 3070 Founders Edition,8GB,769.99
NVIDIA GeForce RTX 3080 Ti Founders Edition,12GB,1199.0
Palit GeForce RTX 3070 Ti GameRock,8GB,1374.05
Palit GeForce RTX 3080 Ti GameRock,12GB,1628.48
PNY GeForce RTX 3070 Ti XLR8 Gaming Revel,8GB,899.0
PNY GeForce RTX 3080 Ti XLR8 Gaming Revel,12GB,1451.67
XFX Speedster MERC 319 Radeon RX 6700 XT Black Gaming,12GB,1073.19
Zotac Gaming GeForce RTX 3070 Ti AMP Extreme Holo,8GB,987.36
Zotac Gaming GeForce RTX 3070 Twin Edge LHR,8GB,621.09
