Produktname,VRAM,Preis_EUR
Palit GeForce RTX 4080 GameRock OmniBlack,16GB,1444.33
ASRock Radeon RX 9070 XT Steel Legend Dark 16GB,16GB,755.9
GIGABYTE AORUS GeForce RTX 5090 Master 32G,32GB,2804.37
GIGABYTE Radeon RX 9060 XT Gaming OC 8G,8GB,315.0
ASRock Radeon RX 6600 Challenger D,8GB,200.51
GIGABYTE Radeon RX 7800 XT Gaming OC 16G,16GB,1101.73
XFX Speedster MERC 310 Radeon RX 7900 XTX Black Edition,24GB,886.39
NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,96GB,10990.0
GIGABYTE GeForce RTX 5060 Windforce 8G,8GB,301.49
Sapphire Pulse Radeon RX 7600 OC,8GB,252.53
ASRock Radeon RX 9070 Steel Legend 16GB,16GB,680.42
ASUS TUF Gaming GeForce RTX 5060 Ti OC,16GB,542.8
INNO3D GeForce RTX 5080 X3,16GB,1111.0
MSI GeForce RTX 5070 Ti 16G Vanguard SOC,16GB,1408.99
PNY GeForce RTX 5090 Overclocked Triple Fan,32GB,3176.16
MSI GeForce RTX 5070 Ti 16G Shadow 3X OC,16GB,891.43
Palit GeForce RTX 5070 Ti GamingPro OC V1,16GB,897.0
Gainward GeForce RTX 5080 Phoenix V1,16GB,1129.0
Zotac Gaming GeForce RTX 5070 Ti AMP Extreme INFINITY,16GB,934.61
Sapphire Pulse Radeon RX 6400,4GB,117.88
XFX Mercury Radeon RX 9070 XT OC White Magnetic Air Edition with RGB,16GB,805.7
MSI GeForce RTX 5060 Ti 16G Gaming OC,16GB,503.18
INNO3D GeForce RTX 5070 Ti X3 OC White,16GB,859.0
ASUS Dual Radeon RX 7900 XTX OC,24GB,1036.03
XFX Quicksilver Radeon RX 9070 XT White Gaming Edition,16GB,730.9
ASUS Dual GeForce RTX 3060 OC V2,12GB,275.18
PowerColor Hellhound Radeon RX 7900 XTX,24GB,897.47
GIGABYTE GeForce RTX 4070 SUPER Windforce OC 12G,12GB,804.78
MSI GeForce RTX 4090 Ventus 3X E 24G OC,24GB,2989.99
Sapphire Pulse Radeon RX 7800 XT,16GB,520.19
GIGABYTE AORUS GeForce RTX 5080 Master ICE 16G,16GB,1511.9
PowerColor Red Devil Radeon RX 9070 XT Limited Edition,16GB,941.1
ASUS Dual Radeon RX 9060 XT,8GB,315.0
Sparkle Arc A310 ECO,4GB,105.71
XFX Quicksilver Radeon RX 9070 XT White Magnetic Air Edition,16GB,753.9
ASRock Radeon RX 9070 Challenger 16GB,16GB,671.9
MSI GeForce RTX 5070 12G Ventus 2X OC,12GB,559.0
GIGABYTE GeForce RTX 5080 Windforce OC SFF 16G,16GB,1279.64
GIGABYTE GeForce RTX 5060 Windforce OC 8G,8GB,301.51
Gainward GeForce RTX 5080 Phantom GS,16GB,1266.51
Palit GeForce RTX 5080 GameRock,16GB,1213.08
Zotac Gaming GeForce RTX 4060 Ti Twin Edge,16GB,486.25
Sapphire Pure Radeon RX 9070,16GB,705.77
GIGABYTE GeForce RTX 5060 Ti Windforce OC 16G,16GB,449.0
GIGABYTE GeForce RTX 5060 Ti Aero OC 16G,16GB,549.48
PowerColor Red Devil Radeon RX 9070,16GB,731.09
MSI GeForce RTX 5070 12G Ventus 2X OC White,12GB,583.87
Gainward GeForce RTX 5090 Phantom GS,32GB,2549.0
Zotac Gaming GeForce RTX 5090 Solid OC White Edition,32GB,2800.52
Palit GeForce RTX 5070 Ti GamingPro V1,16GB,857.0
Acer Nitro Arc B570 OC,10GB,220.84
Gainward GeForce RTX 5090 Phantom,32GB,2509.0
Palit GeForce RTX 4060 Infinity 2,8GB,299.9
Zotac Gaming GeForce RTX 5070 Ti Solid Core OC White Edition,16GB,898.97
GIGABYTE GeForce RTX 5070 Ti Eagle OC ICE SFF 16G,16GB,906.53
ASUS Dual Radeon RX 7600 XT OC,16GB,399.99
ASUS Dual GeForce RTX 5060 Ti OC,8GB,379.0
PowerColor Hellhound Radeon RX 7800 XT,16GB,511.72
NVIDIA RTX 4000 Ada Generation,20GB,1296.31
Zotac Gaming GeForce RTX 5070 Solid,12GB,584.86
GIGABYTE GeForce RTX 4060 Eagle OC 8G,8GB,323.9
Palit GeForce RTX 5090 GameRock,32GB,2619.0
PNY RTX 6000 Ada Generation,48GB,7887.95
ASRock Radeon RX 7800 XT Steel Legend 16GB OC,16GB,539.24
MSI GeForce RTX 5060 8G Gaming OC,8GB,341.84
ASUS Dual GeForce RTX 4060 EVO OC,8GB,333.99
MSI GeForce RTX 4060 Ti Ventus 2X Black 8G OC,8GB,399.99
Zotac Gaming GeForce RTX 5070 Ti Solid SFF OC,16GB,872.54
PNY GeForce RTX 5070 Overclocked Triple Fan,12GB,630.0
XFX Swift Radeon RX 9070 OC Triple Fan Gaming Edition,16GB,694.79
GIGABYTE AORUS GeForce RTX 5060 Ti Elite 16G,16GB,573.78
ASUS ROG Strix GeForce RTX 5070 OC,12GB,798.88
NVIDIA GeForce RTX 5080 Founders Edition,16GB,1649.0
ASUS ROG Astral GeForce RTX 5080,16GB,2012.21
MSI GeForce RTX 3090 Suprim X 24G,24GB,1989.99
Gainward GeForce RTX 5070 Ti Phoenix V1,16GB,1075.35
Zotac Gaming GeForce RTX 5070 AMP White Edition,12GB,663.52
GIGABYTE GeForce RTX 3070 Gaming OC 8G (Rev. 2.0) (LHR),8GB,597.01
Zotac Gaming GeForce RTX 5060 Ti AMP,16GB,478.98
Sparkle Arc A770 ROC LUNA OC Edition,16GB,294.17
PNY RTX 4000 SFF Ada Generation,20GB,1345.28
ASUS Prime Radeon RX 9060 XT OC,8GB,369.99
MSI GeForce RTX 3050 Ventus 2X XS 8G OC,8GB,204.7
XFX Speedster MERC 310 Radeon RX 7900 XT,20GB,687.0
ASUS TUF Gaming Radeon RX 7900 XT OC,20GB,939.04
Gainward GeForce RTX 5060 Ti Python III OC,16GB,489.9
XFX Mercury Radeon RX 9070 XT Gaming Edition,16GB,775.46
INNO3D GeForce RTX 5080 iCHILL X3,16GB,1219.9
ASRock Arc B580 Steel Legend 12GB OC,12GB,313.56
XFX Mercury Radeon RX 9070 XT OC White Gaming Edition with RGB,16GB,790.36
Intel Arc Pro A40,6GB,175.9
INNO3D GeForce RTX 3060 Twin X2 LHR,12GB,276.28
MSI GeForce RTX 5080 16G Suprim Liquid SOC,16GB,1589.0
GIGABYTE GeForce RTX 4060 OC Low Profile 8G,8GB,327.89
AMD Radeon PRO W7900,48GB,3356.62
GIGABYTE GeForce RTX 3060 Gaming OC 12G (Rev. 2.0) (LHR),12GB,285.88
Zotac Gaming GeForce RTX 5080 AMP Extreme INFINITY,16GB,1299.9
GIGABYTE GeForce RTX 5070 Eagle OC SFF 12G,12GB,609.95
Sparkle Arc A380 ELF,6GB,122.48
MSI GeForce RTX 5090 32G Vanguard SOC,32GB,2816.5
GIGABYTE AORUS GeForce RTX 5080 Xtreme Waterforce 16G,16GB,1523.62
Palit GeForce RTX 5070 Ti GamingPro,16GB,856.01
Sparkle Arc A770 TITAN OC Edition,16GB,307.4
INNO3D GeForce RTX 5070 Ti X3,16GB,836.87
ASUS Prime GeForce RTX 5060 Ti OC,8GB,399.9
ASUS TUF Gaming GeForce RTX 5070 Ti,16GB,1079.0
GIGABYTE GeForce RTX 3060 Windforce OC 12G (LHR) (Rev. 2.0),12GB,268.72
XFX Speedster SWFT 210 Radeon RX 7800 XT Core Edition,16GB,472.94
ASUS TUF Gaming Radeon RX 7800 XT OC,16GB,649.9
ASUS ROG Astral LC GeForce RTX 5090,32GB,3089.9
Gainward GeForce RTX 5080 Phantom,16GB,1158.66
Acer Predator BiFrost Radeon RX 9070 XT OC,16GB,769.9
Gainward GeForce RTX 5080 Phoenix,16GB,1150.92
MSI GeForce RTX 5080 16G Shadow 3X OC,16GB,1327.92
Sapphire Nitro+ Radeon RX 7700 XT,12GB,437.36
ASUS Prime GeForce RTX 5060 Ti,16GB,673.11
Sapphire Nitro+ Radeon RX 7900 XT Vapor-X,20GB,764.08
MSI GeForce RTX 5070 12G Gaming Trio OC White,12GB,691.94
NVIDIA GeForce RTX 4090 Founders Edition,24GB,2989.99
MSI GeForce RTX 5080 16G Ventus 3X OC Plus,16GB,1268.76
AMD Radeon PRO W7800,32GB,2004.62
ASRock Radeon RX 7900 XTX Taichi White OC,24GB,1269.65
XFX Radeon RX 7900 XT,20GB,761.98
XFX Speedster SWFT 210 Radeon RX 6650 XT Core Gaming,8GB,283.99
NVIDIA RTX A1000,8GB,380.14
NVIDIA RTX 2000 Ada Generation,16GB,674.2
MSI GeForce RTX 5080 16G Ventus 3X OC,16GB,1329.0
MSI GeForce RTX 5070 Ti 16G Inspire 3X OC Plus,16GB,1022.08
MSI GeForce RTX 5060 8G Ventus 2X OC White,8GB,311.59
Palit GeForce RTX 5090 GameRock OC,32GB,2729.0
ASUS TUF Gaming GeForce RTX 5080,16GB,1449.0
MSI GeForce RTX 5080 16G Vanguard SOC Launch Edition,16GB,1799.9
GIGABYTE GeForce RTX 5070 Eagle OC ICE SFF 12G,12GB,650.41
GIGABYTE GeForce RTX 5060 Ti Gaming OC 16G,16GB,527.88
Zotac Gaming GeForce RTX 5070 Solid OC,12GB,601.97
ASUS TUF Gaming GeForce RTX 5060 OC,8GB,379.0
Zotac Gaming GeForce RTX 5070 Ti AMP Extreme INFINITY ULTRA,16GB,983.02
ASUS Dual GeForce RTX 3050 OC V2,8GB,190.49
Palit GeForce RTX 4070 Dual,12GB,551.18
Gainward GeForce RTX 5070 Ti Phoenix-S GS,16GB,856.13
PowerColor Radeon RX 7800 XT,16GB,486.26
Sapphire Pulse Radeon RX 6500 XT OC,4GB,143.86
